t,x,y,theta
1216.187944,-3.9599,-2.0888,0.4457
1216.209224,-3.9599,-2.0888,0.4458
1216.250998,-3.9599,-2.0888,0.4457
1216.272785,-3.9599,-2.0888,0.4456
1216.316060,-3.9599,-2.0888,0.4457
1216.337335,-3.9599,-2.0888,0.4456
1216.381045,-3.9599,-2.0888,0.4458
1216.422887,-3.9599,-2.0888,0.4457
1216.444109,-3.9599,-2.0888,0.4458
1216.485550,-3.9599,-2.0888,0.4460
1216.508750,-3.9599,-2.0888,0.4460
1216.550688,-3.9599,-2.0888,0.4459
1216.589786,-3.9599,-2.0888,0.4462
1216.614668,-3.9599,-2.0888,0.4461
1216.652482,-3.9599,-2.0888,0.4460
1216.678834,-3.9599,-2.0888,0.4461
1216.721384,-3.9599,-2.0888,0.4465
1216.742557,-3.9599,-2.0888,0.4465
1216.784083,-3.9599,-2.0888,0.4460
1216.822057,-3.9599,-2.0888,0.4461
1216.847518,-3.9599,-2.0888,0.4463
1216.889057,-3.9599,-2.0888,0.4463
1216.910694,-3.9599,-2.0888,0.4463
1216.954052,-3.9599,-2.0888,0.4462
1216.979089,-3.9599,-2.0888,0.4463
1217.021946,-3.9599,-2.0888,0.4463
1217.043052,-3.9599,-2.0888,0.4462
1217.085202,-3.9599,-2.0888,0.4465
1217.122575,-3.9599,-2.0888,0.4464
1217.148879,-3.9599,-2.0888,0.4466
1217.185481,-3.9599,-2.0888,0.4468
1217.212626,-3.9599,-2.0888,0.4467
1217.254852,-3.9599,-2.0888,0.4467
1217.275889,-3.9599,-2.0888,0.4467
1217.317859,-3.9599,-2.0888,0.4466
1217.355628,-3.9599,-2.0888,0.4468
1217.381249,-3.9599,-2.0888,0.4469
